"date","close","volume","open","high","low"
"2018/05/10","125.3500","4947698.0000","124.2200","126.0500","123.9950"
"2018/05/09","123.5100","6807684.0000","122.9900","124.0500","122.5300"
"2018/05/08","122.6100","5942045.0000","122.8600","123.4900","121.6900"
"2018/05/07","123.5900","6710686.0000","124.1400","125.2400","123.3200"
"2018/05/04","124.1900","6125068.0000","122.6000","124.5100","121.8000"
"2018/05/03","123.0300","7282779.0000","123.3000","123.6850","121.2800"
"2018/05/02","123.5000","7317397.0000","125.5200","126.1800","123.2000"
"2018/05/01","126.0100","5122215.0000","126.3200","126.6400","124.9700"
"2018/04/30","126.4900","8217766.0000","128.8600","128.9800","126.4900"
"2018/04/27","128.2700","4266651.0000","127.7300","128.7900","127.5000"
"2018/04/26","128.0100","8072369.0000","126.6200","129.2200","126.6200"
"2018/04/25","126.7600","5841729.0000","125.9100","126.8500","125.2800"
"2018/04/24","126.1900","6577044.0000","126.9400","127.4600","125.3100"
"2018/04/23","126.8300","7375899.0000","126.8800","127.3000","125.7800"
"2018/04/20","126.6600","7742356.0000","128.0000","128.3000","126.1700"
"2018/04/19","127.5500","5892891.0000","127.6300","128.2700","126.8875"
"2018/04/18","127.7200","9381341.0000","129.6900","129.9000","126.9400"
"2018/04/17","130.5400","11002620.0000","132.1100","132.2000","128.8100"
"2018/04/16","131.7600","6371955.0000","131.4100","132.8800","131.2800"
"2018/04/13","130.6200","4741975.0000","131.0900","131.4200","129.6300"
"2018/04/12","130.4300","4531503.0000","130.0900","131.3100","129.8600"
"2018/04/11","129.6300","4574560.0000","129.1400","130.3500","129.0300"
"2018/04/10","130.2500","6062936.0000","130.2500","130.9096","129.2900"
"2018/04/09","129.4800","6394732.0000","128.6500","131.1400","127.6800"
"2018/04/06","128.1000","6359695.0000","130.2200","130.6400","126.4100"
"2018/04/05","130.7100","5594740.0000","130.4100","131.2000","129.5000"
"2018/04/04","130.4100","7497536.0000","126.9000","131.1200","126.3900"
"2018/04/03","128.3500","8034690.0000","125.1800","128.4850","124.6800"
"2018/04/02","124.5600","8890864.0000","127.8200","127.8800","123.5400"
"2018/03/29","128.1500","6119424.0000","127.9700","128.7600","126.8200"
"2018/03/28","127.4500","6868531.0000","127.6300","129.0200","127.2100"
"2018/03/27","127.2100","7788761.0000","127.1100","129.1000","126.3900"
"2018/03/26","127.3900","8357935.0000","126.4100","127.5400","125.2100"
"2018/03/23","125.1000","8450246.0000","127.6300","127.8700","124.9000"
"2018/03/22","127.3800","7551409.0000","130.4700","130.6800","127.1000"
"2018/03/21","131.1900","5152954.0000","131.4000","132.7800","130.6600"
"2018/03/20","131.2100","6214209.0000","130.7800","131.7800","129.3800"
"2018/03/19","130.2400","5987591.0000","133.3500","133.4700","129.3600"
"2018/03/16","133.6800","14232980.0000","133.1600","134.4000","132.1000"
"2018/03/15","133.0600","6147108.0000","132.5500","134.2400","132.4700"
"2018/03/14","132.3200","6770089.0000","135.2400","135.7000","131.9000"
"2018/03/13","134.3500","9148962.0000","133.8000","135.3900","133.4500"
"2018/03/12","132.6300","4941896.0000","133.8000","134.2300","132.3200"
"2018/03/09","133.8000","7259408.0000","132.5100","133.8200","131.5600"
"2018/03/08","132.0600","6888710.0000","129.3300","132.3000","129.3300"
"2018/03/07","129.0400","6389910.0000","127.4800","129.3300","127.2700"
"2018/03/06","128.2200","5541885.0000","130.0000","130.2000","127.9200"
"2018/03/05","129.7900","5799756.0000","128.6300","130.3000","128.1800"
"2018/03/02","128.8200","6908551.0000","126.9100","129.1100","126.9100"
"2018/03/01","127.2800","9252401.0000","129.1100","130.1200","126.5200"
